day,time,travel_min,poi_name,type,poi_id
day1,08:00,0,,Start,hotel01843
day1,08:13,14,Ho Tay Water Park,Visit,attraction00580
day1,09:17,4,Rentabike Vietnam West Lake - Motorbike Rental + Tours,Visit,attraction00630
day1,10:22,5,Bến nước đình làng Phú Xá,Visit,attraction00470
day1,11:37,15,Di tích Loa Khẩu - Loa Khau Relic,Visit,attraction00486
day1,12:54,16,Alsultan Hanoi Restaurant مطعم السلطان,Lunch,restaurant01170
day1,14:09,15,Golden Footstep Travel,Visit,attraction00649
day1,15:22,13,Kafeville,Coffee,restaurant01394
day1,16:17,10,Vietnam Exclusive Travel,Visit,attraction00640
day2,08:00,0,,Start,hotel01843
day2,08:11,11,Hanoi Local Tour - Hanoi Tours & Day Trips from Hanoi,Visit,attraction00619
day2,09:13,2,Peridot Spa (Grand),Visit,attraction00659
day2,10:13,0,TiredCity 54 Bát Sứ,Visit,attraction00643
day2,11:13,0,Crossing Vietnam Tour,Visit,attraction00615
day2,12:14,1,Countryside Restaurant,Lunch,restaurant01162
day2,13:17,3,Asia Pioneer Travel & DMC,Visit,attraction00593
day2,14:26,9,Nhà Truyền Thống Làng Lệ Mật,Visit,attraction00498
day2,15:34,8,Vi Anh Coffee,Coffee,restaurant01405
day2,16:19,0,Hanoi Backstreet Tours - Hanoi Jeep Tours - Hanoi Vespa Tours - Hanoi Motorbike Tours,Visit,attraction00613
day2,17:20,1,The Hangout Tattoo Studio - Ha Noi,Visit,attraction00655
day2,18:22,2,VIETNAM BACKSTREET TOURS,Visit,attraction00628
day2,19:23,1,Sword Lake Octagon House,Visit,attraction00564
day2,20:24,1,Hoàn Kiếm Lake,Visit,attraction00588
day2,21:25,1,Motorbike City Tours - Hanoi Motorbike Tours Led By Women,Visit,attraction00611
day2,22:26,1,"Hanoi Backpacker Booking Office - Tour, Open Bus",Visit,attraction00621
day2,23:30,5,ONETRIP WITH LOCAL TRAVEL CO,Visit,attraction00653
day2,24:35,5,Explore Real Asia Co,Visit,attraction00626
day3,08:00,0,,Start,hotel01843
day3,08:16,16,Hồ Đôla,Visit,attraction00473
day3,09:22,6,Cổng làng Nghĩa Đô,Visit,attraction00466
day3,10:23,1,Indochina Motorbike Tours - Best Motorcycle Tour Operator in Vietnam Laos Cambodia,Visit,attraction00624
day3,11:27,4,Cau Giay Park,Visit,attraction00584
day3,12:31,4,Vị Quảng (Nhà hàng 13 năm tuổi),Lunch,restaurant01186
day3,13:35,4,Vietnamtour,Visit,attraction00637
day3,14:37,2,"Hanoi Tour Guide - Hanoi Tours, Activities & Things to Do",Visit,attraction00568
day3,15:39,2,9room Cafe & Decor,Coffee,restaurant01411
day3,16:26,3,Indira Gandhi Park,Visit,attraction00567
day3,17:29,2,North Vietnam Tours,Visit,attraction00616
day3,18:33,4,Vietnam Motorcycle Tours | VietnamBikers,Visit,attraction00620
